0 Accuracy: 0.249000	classID:1	acc:0.000000		classID:2	acc:0.995918		classID:3	acc:0.000000		classID:4	acc:0.019231	
1 Accuracy: 0.260000	classID:1	acc:0.000000		classID:2	acc:0.000000		classID:3	acc:0.000000		classID:4	acc:1.000000	
2 Accuracy: 0.239000	classID:1	acc:0.991379		classID:2	acc:0.000000		classID:3	acc:0.034221		classID:4	acc:0.000000	
3 Accuracy: 0.245000	classID:1	acc:0.000000		classID:2	acc:1.000000		classID:3	acc:0.000000		classID:4	acc:0.000000	
4 Accuracy: 0.260000	classID:1	acc:0.000000		classID:2	acc:0.000000		classID:3	acc:0.000000		classID:4	acc:1.000000	
5 Accuracy: 0.245000	classID:1	acc:0.000000		classID:2	acc:1.000000		classID:3	acc:0.000000		classID:4	acc:0.000000	
6 Accuracy: 0.245000	classID:1	acc:0.000000		classID:2	acc:1.000000		classID:3	acc:0.000000		classID:4	acc:0.000000	
7 Accuracy: 0.358000	classID:1	acc:0.000000		classID:2	acc:0.987755		classID:3	acc:0.441065		classID:4	acc:0.000000	
8 Accuracy: 0.323000	classID:1	acc:0.000000		classID:2	acc:0.244898		classID:3	acc:1.000000		classID:4	acc:0.000000	
9 Accuracy: 0.263000	classID:1	acc:0.000000		classID:2	acc:0.000000		classID:3	acc:1.000000		classID:4	acc:0.000000	
10 Accuracy: 0.263000	classID:1	acc:0.000000		classID:2	acc:0.000000		classID:3	acc:1.000000		classID:4	acc:0.000000	
11 Accuracy: 0.263000	classID:1	acc:0.000000		classID:2	acc:0.000000		classID:3	acc:1.000000		classID:4	acc:0.000000	
12 Accuracy: 0.263000	classID:1	acc:0.000000		classID:2	acc:0.000000		classID:3	acc:1.000000		classID:4	acc:0.000000	
13 Accuracy: 0.482000	classID:1	acc:0.034483		classID:2	acc:1.000000		classID:3	acc:0.866920		classID:4	acc:0.003846	
14 Accuracy: 0.421000	classID:1	acc:0.000000		classID:2	acc:1.000000		classID:3	acc:0.669202		classID:4	acc:0.000000	
15 Accuracy: 0.489000	classID:1	acc:0.000000		classID:2	acc:0.922449		classID:3	acc:1.000000		classID:4	acc:0.000000	
16 Accuracy: 0.373000	classID:1	acc:0.000000		classID:2	acc:1.000000		classID:3	acc:0.486692		classID:4	acc:0.000000	
17 Accuracy: 0.472000	classID:1	acc:0.000000		classID:2	acc:1.000000		classID:3	acc:0.863118		classID:4	acc:0.000000	
18 Accuracy: 0.496000	classID:1	acc:0.000000		classID:2	acc:0.951020		classID:3	acc:1.000000		classID:4	acc:0.000000	
19 Accuracy: 0.505000	classID:1	acc:0.090517		classID:2	acc:1.000000		classID:3	acc:0.874525		classID:4	acc:0.034615	
20 Accuracy: 0.518000	classID:1	acc:0.288793		classID:2	acc:1.000000		classID:3	acc:0.570342		classID:4	acc:0.215385	
21 Accuracy: 0.642000	classID:1	acc:0.482759		classID:2	acc:1.000000		classID:3	acc:0.646388		classID:4	acc:0.442308	
22 Accuracy: 0.488000	classID:1	acc:0.353448		classID:2	acc:1.000000		classID:3	acc:0.292776		classID:4	acc:0.323077	
