0 tensor(74.5000, device='cuda:0')
1 tensor(100.0000, device='cuda:0')
2 tensor(100.0000, device='cuda:0')
3 tensor(100.0000, device='cuda:0')
4 tensor(100.0000, device='cuda:0')
5 tensor(100.0000, device='cuda:0')
6 tensor(100.0000, device='cuda:0')
7 tensor(100.0000, device='cuda:0')
8 tensor(100.0000, device='cuda:0')
9 tensor(100.0000, device='cuda:0')
10 tensor(100.0000, device='cuda:0')
11 tensor(100.0000, device='cuda:0')
12 tensor(100.0000, device='cuda:0')
13 tensor(100.0000, device='cuda:0')
14 tensor(100.0000, device='cuda:0')
15 tensor(100.0000, device='cuda:0')
16 tensor(100.0000, device='cuda:0')
17 tensor(100.0000, device='cuda:0')
18 tensor(100.0000, device='cuda:0')
19 tensor(100.0000, device='cuda:0')
20 tensor(100.0000, device='cuda:0')
21 tensor(100.0000, device='cuda:0')
22 tensor(100.0000, device='cuda:0')
23 tensor(100.0000, device='cuda:0')
24 tensor(100.0000, device='cuda:0')
25 tensor(100.0000, device='cuda:0')
26 tensor(100.0000, device='cuda:0')
27 tensor(100.0000, device='cuda:0')
28 tensor(100.0000, device='cuda:0')
29 tensor(100.0000, device='cuda:0')
30 tensor(100.0000, device='cuda:0')
31 tensor(100.0000, device='cuda:0')
32 tensor(100.0000, device='cuda:0')
33 tensor(100.0000, device='cuda:0')
34 tensor(100.0000, device='cuda:0')
35 tensor(100.0000, device='cuda:0')
36 tensor(100.0000, device='cuda:0')
37 tensor(100.0000, device='cuda:0')
38 tensor(100.0000, device='cuda:0')
39 tensor(100.0000, device='cuda:0')
40 tensor(100.0000, device='cuda:0')
41 tensor(100.0000, device='cuda:0')
42 tensor(100.0000, device='cuda:0')
43 tensor(100.0000, device='cuda:0')
44 tensor(100.0000, device='cuda:0')
45 tensor(100.0000, device='cuda:0')
46 tensor(100.0000, device='cuda:0')
47 tensor(100.0000, device='cuda:0')
48 tensor(100.0000, device='cuda:0')
49 tensor(100.0000, device='cuda:0')
50 tensor(100.0000, device='cuda:0')
51 tensor(100.0000, device='cuda:0')
52 tensor(100.0000, device='cuda:0')
53 tensor(100.0000, device='cuda:0')
54 tensor(100.0000, device='cuda:0')
55 tensor(100.0000, device='cuda:0')
56 tensor(100.0000, device='cuda:0')
57 tensor(100.0000, device='cuda:0')
58 tensor(100.0000, device='cuda:0')
59 tensor(100.0000, device='cuda:0')
60 tensor(100.0000, device='cuda:0')
61 tensor(100.0000, device='cuda:0')
62 tensor(100.0000, device='cuda:0')
63 tensor(100.0000, device='cuda:0')
64 tensor(100.0000, device='cuda:0')
65 tensor(100.0000, device='cuda:0')
66 tensor(100.0000, device='cuda:0')
67 tensor(100.0000, device='cuda:0')
68 tensor(100.0000, device='cuda:0')
69 tensor(100.0000, device='cuda:0')
70 tensor(100.0000, device='cuda:0')
71 tensor(100.0000, device='cuda:0')
72 tensor(100.0000, device='cuda:0')
73 tensor(100.0000, device='cuda:0')
74 tensor(100.0000, device='cuda:0')
75 tensor(100.0000, device='cuda:0')
76 tensor(100.0000, device='cuda:0')
77 tensor(100.0000, device='cuda:0')
78 tensor(100.0000, device='cuda:0')
79 tensor(100.0000, device='cuda:0')
80 tensor(100.0000, device='cuda:0')
81 tensor(100.0000, device='cuda:0')
82 tensor(100.0000, device='cuda:0')
83 tensor(100.0000, device='cuda:0')
84 tensor(100.0000, device='cuda:0')
85 tensor(100.0000, device='cuda:0')
86 tensor(100.0000, device='cuda:0')
87 tensor(100.0000, device='cuda:0')
88 tensor(100.0000, device='cuda:0')
89 tensor(100.0000, device='cuda:0')
90 tensor(100.0000, device='cuda:0')
91 tensor(100.0000, device='cuda:0')
92 tensor(100.0000, device='cuda:0')
93 tensor(100.0000, device='cuda:0')
94 tensor(100.0000, device='cuda:0')
95 tensor(100.0000, device='cuda:0')
96 tensor(100.0000, device='cuda:0')
97 tensor(100.0000, device='cuda:0')
98 tensor(100.0000, device='cuda:0')
99 tensor(100.0000, device='cuda:0')
100 tensor(100.0000, device='cuda:0')
101 tensor(100.0000, device='cuda:0')
102 tensor(100.0000, device='cuda:0')
103 tensor(100.0000, device='cuda:0')
104 tensor(100.0000, device='cuda:0')
105 tensor(100.0000, device='cuda:0')
106 tensor(100.0000, device='cuda:0')
107 tensor(100.0000, device='cuda:0')
108 tensor(100.0000, device='cuda:0')
109 tensor(100.0000, device='cuda:0')
110 tensor(100.0000, device='cuda:0')
111 tensor(100.0000, device='cuda:0')
112 tensor(100.0000, device='cuda:0')
113 tensor(100.0000, device='cuda:0')
114 tensor(100.0000, device='cuda:0')
115 tensor(100.0000, device='cuda:0')
116 tensor(100.0000, device='cuda:0')
117 tensor(100.0000, device='cuda:0')
118 tensor(100.0000, device='cuda:0')
119 tensor(100.0000, device='cuda:0')
120 tensor(100.0000, device='cuda:0')
121 tensor(100.0000, device='cuda:0')
122 tensor(100.0000, device='cuda:0')
123 tensor(100.0000, device='cuda:0')
124 tensor(100.0000, device='cuda:0')
125 tensor(100.0000, device='cuda:0')
126 tensor(100.0000, device='cuda:0')
127 tensor(100.0000, device='cuda:0')
128 tensor(100.0000, device='cuda:0')
129 tensor(100.0000, device='cuda:0')
130 tensor(100.0000, device='cuda:0')
131 tensor(100.0000, device='cuda:0')
132 tensor(100.0000, device='cuda:0')
133 tensor(100.0000, device='cuda:0')
134 tensor(100.0000, device='cuda:0')
135 tensor(100.0000, device='cuda:0')
136 tensor(100.0000, device='cuda:0')
137 tensor(100.0000, device='cuda:0')
138 tensor(100.0000, device='cuda:0')
139 tensor(100.0000, device='cuda:0')
140 tensor(100.0000, device='cuda:0')
141 tensor(100.0000, device='cuda:0')
142 tensor(100.0000, device='cuda:0')
143 tensor(100.0000, device='cuda:0')
144 tensor(100.0000, device='cuda:0')
145 tensor(100.0000, device='cuda:0')
146 tensor(100.0000, device='cuda:0')
147 tensor(100.0000, device='cuda:0')
148 tensor(100.0000, device='cuda:0')
149 tensor(100.0000, device='cuda:0')
150 tensor(100.0000, device='cuda:0')
151 tensor(100.0000, device='cuda:0')
152 tensor(100.0000, device='cuda:0')
153 tensor(100.0000, device='cuda:0')
154 tensor(100.0000, device='cuda:0')
155 tensor(100.0000, device='cuda:0')
156 tensor(100.0000, device='cuda:0')
157 tensor(100.0000, device='cuda:0')
158 tensor(100.0000, device='cuda:0')
159 tensor(100.0000, device='cuda:0')
160 tensor(100.0000, device='cuda:0')
161 tensor(100.0000, device='cuda:0')
162 tensor(100.0000, device='cuda:0')
163 tensor(100.0000, device='cuda:0')
164 tensor(100.0000, device='cuda:0')
165 tensor(100.0000, device='cuda:0')
166 tensor(100.0000, device='cuda:0')
167 tensor(100.0000, device='cuda:0')
168 tensor(100.0000, device='cuda:0')
169 tensor(100.0000, device='cuda:0')
170 tensor(100.0000, device='cuda:0')
171 tensor(100.0000, device='cuda:0')
172 tensor(100.0000, device='cuda:0')
173 tensor(100.0000, device='cuda:0')
174 tensor(100.0000, device='cuda:0')
175 tensor(100.0000, device='cuda:0')
176 tensor(100.0000, device='cuda:0')
177 tensor(100.0000, device='cuda:0')
178 tensor(100.0000, device='cuda:0')
179 tensor(100.0000, device='cuda:0')
180 tensor(100.0000, device='cuda:0')
181 tensor(100.0000, device='cuda:0')
182 tensor(100.0000, device='cuda:0')
183 tensor(100.0000, device='cuda:0')
184 tensor(100.0000, device='cuda:0')
185 tensor(100.0000, device='cuda:0')
186 tensor(100.0000, device='cuda:0')
187 tensor(100.0000, device='cuda:0')
188 tensor(100.0000, device='cuda:0')
189 tensor(100.0000, device='cuda:0')
190 tensor(100.0000, device='cuda:0')
191 tensor(100.0000, device='cuda:0')
192 tensor(100.0000, device='cuda:0')
193 tensor(100.0000, device='cuda:0')
194 tensor(100.0000, device='cuda:0')
195 tensor(100.0000, device='cuda:0')
196 tensor(100.0000, device='cuda:0')
197 tensor(100.0000, device='cuda:0')
198 tensor(100.0000, device='cuda:0')
199 tensor(100.0000, device='cuda:0')
200 tensor(100.0000, device='cuda:0')
201 tensor(100.0000, device='cuda:0')
202 tensor(100.0000, device='cuda:0')
203 tensor(100.0000, device='cuda:0')
204 tensor(100.0000, device='cuda:0')
205 tensor(100.0000, device='cuda:0')
206 tensor(100.0000, device='cuda:0')
207 tensor(100.0000, device='cuda:0')
208 tensor(100.0000, device='cuda:0')
209 tensor(100.0000, device='cuda:0')
210 tensor(100.0000, device='cuda:0')
211 tensor(100.0000, device='cuda:0')
212 tensor(100.0000, device='cuda:0')
213 tensor(100.0000, device='cuda:0')
214 tensor(100.0000, device='cuda:0')
215 tensor(100.0000, device='cuda:0')
216 tensor(100.0000, device='cuda:0')
217 tensor(100.0000, device='cuda:0')
218 tensor(100.0000, device='cuda:0')
219 tensor(100.0000, device='cuda:0')
220 tensor(100.0000, device='cuda:0')
221 tensor(100.0000, device='cuda:0')
222 tensor(100.0000, device='cuda:0')
223 tensor(100.0000, device='cuda:0')
224 tensor(100.0000, device='cuda:0')
225 tensor(100.0000, device='cuda:0')
226 tensor(100.0000, device='cuda:0')
227 tensor(100.0000, device='cuda:0')
228 tensor(100.0000, device='cuda:0')
229 tensor(100.0000, device='cuda:0')
230 tensor(100.0000, device='cuda:0')
